loss,init,min_samples_split,learning_rate,max_depth,min_samples_leaf,n_estimators
0.0320454123468198,False,0.996506109218434,0.3430822984156419,59,864,795
0.0179346601605955,True,0.8667279260068069,0.4073104842300303,168,550,651
0.0118586513531046,False,0.6279158412410937,0.3839992821891015,259,157,740
0.0119155263384923,True,0.329503025103067,0.2561157952625162,201,925,882
0.0123333681732066,True,0.518456933518836,0.171547630558769,198,119,415
0.0110859835042513,True,0.1757101867121385,0.2268630894323456,304,594,642
0.0105451940196325,False,0.0186995255975799,0.4810491904458059,303,44,586
0.0107512558442611,False,0.2883920470957801,0.2745671005041808,815,296,681
0.0097794380474908,True,0.0513039701734803,0.4631356565073848,85,232,637
0.0120059989973875,False,0.1164790731938478,0.164889483486667,437,624,175
0.0113896825077978,False,0.1516655831526026,0.3982384770176773,710,189,166
0.0124669903488565,True,0.392008532727327,0.4922875334326589,374,237,294
0.0320278125914472,False,0.8204521636831243,0.3069024690727381,878,24,978
0.0098354746729669,True,0.050080015889107,0.2435730915254803,978,208,561
0.0209658430208187,False,0.7962113325472314,0.10553427758895,297,568,195
0.0130439854102261,True,0.3524379549849447,0.2849395541437859,357,487,91
0.0110444681868443,True,0.1780579359086471,0.375225244224986,322,460,334
0.0118847430103134,True,0.376045768643334,0.185965587912631,278,759,935
0.0138058025077691,True,0.5779237102764558,0.0586250210905742,113,88,372
0.0118600311429066,True,0.0923421247641491,0.1371423354120896,956,961,310
0.0119488522942893,True,0.0537322938756404,0.0259771848481318,739,582,787
0.011766059810058,True,0.2294377897136765,0.4448139547467972,879,775,210
0.0117352689105318,True,0.2392941787236307,0.2186995649932217,830,470,223
0.0099426647237394,True,0.0248362254232248,0.3239077232289536,170,501,649
0.0101680309943362,True,0.0035139463032193,0.4630075628536133,175,848,965
0.0122100558371068,True,0.4503305019784391,0.0855321560743833,512,78,637
0.0118499323394129,True,0.2738997761860219,0.3490503031825586,973,733,279
0.0110986288311972,True,0.0954435484273384,0.2200082721857476,85,611,306
0.0095935263973648,True,0.0007040097795494,0.3578443086832827,989,208,386
0.0179242359617492,True,0.959184138644872,0.4377087574324439,418,663,87
0.0128280721217339,True,0.6823294163109906,0.3509140352851788,311,274,574
0.0116313535065603,True,0.4739138192014909,0.4227101226643315,41,239,463
0.0125785892807255,True,0.6766522149616855,0.4959245778824596,354,153,884
0.0100218220838638,False,0.0012565254086699,0.3793861875870236,810,669,386
0.0110119471753902,True,0.216346596381001,0.3206288999073285,445,101,286
0.0121551861674233,True,0.5613788625946063,0.4085944456473057,552,435,849
0.0099557946610123,True,0.1449030877074323,0.4630072655647425,581,62,739
0.0112842701904112,False,0.3041660339948628,0.3674266658152584,559,558,417
0.0179338628132458,True,0.98371645868955,0.2874094006344878,868,538,615
0.011407134814526,False,0.4402206313197366,0.4669903071619609,379,290,661
0.0110007230090077,True,0.0723524578648995,0.4995595557169024,79,746,232
0.0107056220113084,False,0.1962879091068416,0.3958635987315206,711,113,341
0.010114793430757,True,0.1308169804668231,0.4202674069731523,454,449,916
0.0127052042926708,True,0.7100632350945432,0.2640943765428535,594,142,670
0.0131320918260535,False,0.4017781509451749,0.3302425268689342,819,977,190
0.0121661307423173,True,0.3303559240177013,0.4352704582067765,510,883,319
0.0126574718347913,True,0.5189943910467518,0.2973794744587368,515,827,314
0.0123223110854582,False,0.2661846308805609,0.3623556479708433,481,467,133
0.0179343520865433,True,0.9062029718976016,0.2451025491637642,298,651,641
0.0110321356458609,True,0.0404377130228165,0.4822991832341656,731,809,203
0.0111019432980221,False,0.1653118400418969,0.186950135202257,526,822,874
0.0136679207281677,True,0.7932744967026945,0.39608111750143,679,500,158
0.010694988868881,True,0.1163904377718299,0.3105679663080456,293,473,627
0.0102393685737523,True,0.0075680543403777,0.4487838646423872,370,626,414
0.012855170513289,True,0.628264527766164,0.1594589905906315,85,647,583
0.0105405706180919,False,0.0831288634774464,0.3390269351862258,151,824,638
0.0110769977176388,True,0.2468525656506058,0.4194866576373239,460,689,867
0.0136366076183894,True,0.3504678152206864,0.2714952417977326,584,998,70
0.0106252028254279,True,0.3095080003885774,0.3849910888234426,489,128,911
0.0103547350392326,True,0.2024313763199919,0.4741511233359298,524,673,892
0.0304552501932014,False,0.4114230084152065,0.009966937059068,845,146,44
0.0131262391127301,True,0.526555508091119,0.1312046697934367,989,742,386
0.010834831112543,True,0.0471946341707248,0.2048142616494816,941,766,587
0.0127130835409236,True,0.7320457069041629,0.3631940215214221,966,208,925
0.010731424424698,True,0.1034088966919093,0.4473639456961243,605,934,872
0.0102581358288775,True,0.1658748244002249,0.2417199497774095,978,208,912
0.0113351769232715,True,0.0689723374513378,0.2287674512477163,194,876,343
0.0094322024837062,True,0.0302197989175373,0.1955199926548926,319,14,865
0.0105542856543475,True,0.0252411040923254,0.0670647316090595,399,184,322
0.0128345905887517,True,0.1395962562181783,0.0987482547565724,88,28,100
0.0112391671802364,True,0.1942132158915581,0.1408411633987669,319,14,230
0.0106070463110652,True,0.0082071750403441,0.1919807506201248,715,811,471
0.011859525572184,True,0.2495147222123579,0.1617294981092427,7,90,611
0.0106444603301418,True,0.1059930424349951,0.2590251004209647,432,637,797
0.0106506349103827,True,0.0603521765178096,0.2034805345146681,688,563,657
0.0114582541891665,True,0.291349814931229,0.2843949068261648,812,174,452
0.0130784314380593,False,0.2202582273066287,0.0428375265977498,774,882,734
0.0101700617833248,True,0.0266556047015031,0.3113229346391038,44,509,680
0.0157349986560088,True,0.0017097056957177,0.1273083661780807,751,29,5
0.0119048674053017,True,0.363009639540834,0.3407609400708652,655,937,531
0.0101234036417185,False,0.1354018652311383,0.1756882125877777,720,55,326
0.0121873071593402,True,0.4799315975148058,0.409342340150728,576,836,863
0.0117117594894175,True,0.174997229558979,0.3502261946386558,150,760,256
0.0126786093393561,True,0.5966639177400134,0.1496116894019935,125,726,737
0.0179343641736676,True,0.8844612698290882,0.1188457131354835,243,636,65
0.0116041587254288,False,0.4274847642457882,0.3825793639617312,606,232,254
0.0110607717844404,True,0.261153194071419,0.2328884694609499,404,287,920
0.0109372591823546,True,0.3279307033244394,0.4338991933945954,486,197,653
0.011388733482901,True,0.0906871058596945,0.3210501765844065,804,232,90
0.0106717501198593,False,0.0454937223736947,0.4549362059381311,448,714,575
0.0118466971294428,True,0.3853692251437046,0.4884217347002866,717,502,309
0.009961873152331,True,0.128196401923452,0.2118442926482726,846,31,637
0.0101391024332956,True,0.1512424454018598,0.3018376146806183,989,181,741
0.017937891529727,True,0.8240155652905992,0.2768861601761858,403,407,264
0.010866148058069,False,0.230298800615723,0.3340988848400827,793,591,548
0.0110980220276207,True,0.077469964342177,0.2946346642731411,5,14,749
0.0114310231990677,True,0.2026609212416328,0.0750226507406889,434,414,930
0.0136647297731714,True,0.2859317084067789,0.1108640991230164,523,751,142
0.0108861825325036,True,0.031229410582213,0.1741897859168454,867,952,493
0.0107482490447875,False,0.1156386493546896,0.3731673207517409,319,429,292
0.0125305349607671,True,0.6505599269718831,0.3558641450732386,312,368,865
0.0119268965508175,True,0.5487591830669091,0.3982719721507998,499,53,991
0.009513768339957,True,0.0001515386146229,0.2526878385728124,970,402,992
0.0109654965670562,True,0.178904488749888,0.2561625595765391,496,140,525
0.0119398296313463,True,0.4655438450871319,0.1961593337786,820,494,824
0.0112805877313383,False,0.0596584356018831,0.2674611394725809,274,720,196
0.0130132840989817,True,0.0007342512896432,0.0062350934966033,650,402,947
0.0179265222948044,True,0.9219922119472344,0.2180151221807697,429,404,822
0.0123145764640711,True,0.4970848910059483,0.1825601531112992,420,308,716
